"source","target","weight","evidence_type"
"MNS1","RIBC2",0.000801,"Experiments"
"KIF11","FOXM1",4e-04,"Text-mining"
"KIF11","RACGAP1",0.000412,"Text-mining"
"KIF11","CCNA2",0.00045,"Text-mining"
"KIF11","IGF2BP1",0.000483,"Text-mining"
"KIF11","CDC20",0.000487,"Text-mining"
"KIF11","KIFC1",0.00054,"Databases"
"KIF11","KIF14",0.00054,"Databases"
"KIF11","KIF18B",0.00054,"Databases"
"KIF11","KIF18A",0.00054,"Databases"
"KIF11","KIF21B",0.00054,"Databases"
"KIF11","KIFC2",0.00054,"Databases"
"KIF11","BUB1B",0.000544,"Text-mining"
"KIF11","KIF20A",0.000567,"Databases"
"KIF11","KIF2C",6e-04,"Databases"
"KIF11","KIF5A",0.000643,"Experiments + Databases"
"KIF11","CDK1",0.000682,"Experiments"
"KIF11","KLC2",0.00072,"Databases"
"KIF11","KIF15",0.000734,"Databases"
"BARD1","RFC4",0.000499,"Databases"
"BARD1","BLM",0.000499,"Databases"
"BARD1","RHNO1",0.000499,"Databases"
"BARD1","RFC3",0.000499,"Databases"
"BARD1","RMI2",0.000499,"Databases"
"BARD1","DNA2",0.000505,"Experiments + Databases"
"BARD1","EXO1",0.000526,"Databases"
"BARD1","CDC20",0.00054,"Databases"
"BARD1","CDC20B",0.00054,"Databases"
"BARD1","XRCC2",0.000581,"Databases"
"BARD1","XRCC3",0.000708,"Databases"
"BARD1","BUB1B",0.00072,"Databases"
"BARD1","AURKB",0.000789,"Experiments"
"BARD1","H3C10",9e-04,"Experiments"
"BARD1","H3C6",9e-04,"Experiments"
"BARD1","CUL7",9e-04,"Databases"
"BARD1","H4C8",9e-04,"Experiments"
"BARD1","CBX2",9e-04,"Databases"
