"node_id","MCC","Degree","Closeness","Betweenness","Avg_Rank"
"RAB6B",0,4,0.223507,0.013518,188.75
"LIN9",0,7,0.225357,0.004374,189.25
"FANCE",0,12,0.23592,0.001415,189.75
"RAD54L",0,3,0.265986,0.00327,189.75
"DLGAP5",0,7,0.254677,0.000483,190.25
"LIN37",0,7,0.238455,0.002666,192
"XRCC3",0,12,0.248033,7.9e-05,193
"MAPK11",0,4,0.212638,0.01828,193.25
"RAD54B",0,3,0.236106,0.009983,194.75
"POLN",0,8,0.243397,0.000769,195
"TRAF2",0,5,0.205489,0.015342,196
"CDC25B",0,6,0.261116,0.000157,196.25
"NSD2",0,11,0.249064,2.1e-05,197.25
"RHNO1",0,10,0.247214,9e-05,197.25
"RPS10",0,5,0.243298,0.002973,198.5
"S100A1",0,5,0.201548,0.015956,199.5
"MYH4",0,3,0.215235,0.016605,200
"COL7A1",0,7,0.201007,0.008586,200
"SNRPB",0,7,0.210471,0.006568,200.25
"L3MBTL1",0,7,0.249272,0.000238,200.5
"CEP55",0,4,0.249479,0.00241,201.75
"STX1A",0,9,0.169113,0.020639,202.5
"OIP5",0,11,0.229063,0.000679,203.75
"TP73",0,4,0.236385,0.003938,204
"CCNO",0,5,0.267889,5.4e-05,204.25
"WDR76",0,5,0.221278,0.005688,204.5
"SPDL1",0,7,0.257082,0,205.5
"XRCC2",0,10,0.246401,0,206.25
"CDCA5",0,5,0.26861,0,207.25
"MELK",0,6,0.252423,0.000141,207.25
"MCMDC2",0,9,0.24701,5e-06,207.5
"PDGFRB",0,3,0.221524,0.009585,207.75
"ATAD2",0,5,0.222925,0.003924,207.75
"PYGO2",0,6,0.238741,0.001424,208.25
"LHX4",0,4,0.218533,0.007064,208.75
"ERCC6L",0,4,0.247725,0.002009,209.25
"PDLIM7",0,5,0.193601,0.014639,209.25
"UBE2T",0,8,0.232081,0.000671,209.75
"PHF19",0,7,0.252849,0,210
"CTNNA2",0,8,0.190947,0.006768,210.5
"ITGA2",0,7,0.196393,0.007061,211
"UCHL1",0,3,0.262489,0.000742,211.25
"COL8A1",0,9,0.199136,0.003657,211.5
"UNC13A",0,3,0.199467,0.021738,212.25
"CDK5RAP3",0,2,0.220789,0.017035,212.5
"TPX2",0,6,0.24251,0.000466,213
"TTK",0,4,0.24793,0.001268,213.75
"NEK2",0,6,0.251258,6e-05,214.5
"WNT3A",0,6,0.175351,0.017216,215.5
"MAPK8IP2",0,4,0.205842,0.00875,216
"SCN4A",0,3,0.205983,0.012946,216.25
"MMS22L",0,7,0.236292,0.000304,216.5
"PPP2R3B",0,4,0.225188,0.003554,216.5
"CCNF",0,4,0.263877,1.9e-05,218.75
"PRC1",0,5,0.248136,0.000172,219.25
"FAM83D",0,3,0.261801,0.00022,220
"USP21",0,4,0.240852,0.001629,220.25
"CNIH2",0,5,0.197429,0.008149,220.5
"KCNJ11",0,3,0.234994,0.003339,220.5
"NEIL3",0,6,0.249168,0,221.25
"FAAP24",0,10,0.230385,1.4e-05,222
"FANCB",0,10,0.230385,1.4e-05,222
"HMGA2",0,4,0.24459,0.000774,222
"TICRR",0,4,0.221934,0.003339,222.25
"CHAF1A",0,4,0.252104,0.000228,222.25
"CHAF1B",0,4,0.252104,0.000228,222.25
"PTTG1",0,5,0.254244,8e-06,222.25
"PBK",0,3,0.272397,0,222.75
"COCH",0,3,0.211511,0.00781,223.75
"HMMR",0,4,0.248342,0.000281,223.75
"SGO2",0,4,0.241046,0.001087,224.25
"MSX1",0,3,0.223008,0.00375,225.5
"PLEKHG2",0,4,0.259983,0,225.75
"TK1",0,3,0.265514,2.4e-05,225.75
"KIF4A",0,4,0.245693,0.00031,226.5
"NRCAM",0,6,0.172077,0.01287,226.75
"MYBL2",0,5,0.238931,0.000278,228.25
"CEP152",0,4,0.214618,0.003339,228.5
"GRIK4",0,5,0.196522,0.006257,230
"LAMC1",0,7,0.179503,0.005933,230.25
"AP1M2",0,5,0.173322,0.014441,230.25
"BFSP1",0,2,0.204577,0.0157,230.75
"ITGA6",0,6,0.189437,0.005011,231.5
"EME1",0,8,0.229326,0,231.75
"EME2",0,8,0.229326,0,231.75
"PFN4",0,3,0.217029,0.003502,233.25
"HSPB1",0,3,0.216558,0.003478,234
"CDK5R1",0,3,0.184762,0.014135,235.75
"EPHB2",0,6,0.156724,0.013826,236
"MKI67",0,4,0.240273,0.000224,237
"PLXNA1",0,7,0.164245,0.007541,237.5
"VPS72",0,4,0.234626,0.000491,238.75
"E2F2",0,4,0.248445,0,238.75
"MSH5",0,4,0.242608,0.000104,238.75
"G6PD",0,2,0.242314,0.002325,239.25
"RPL36A",0,5,0.216012,0.001087,239.5
"SPC25",0,6,0.233346,0,240.75
"SPC24",0,6,0.233346,0,240.75
"POLG2",0,6,0.232621,0,241.75
"CBFA2T2",0,2,0.213243,0.006673,242.25
