gene_A	gene_B	combined_score	neighborhood	fusion	cooccurence	coexpression	experiments	database	textmining	evidence_type
FANCE	FANCA	0.000999	0	0	0	0	0.944	0.9	0.984	Experiments + Databases
FANCE	FANCB	0.000999	0	0	0	0	0.944	0.9	0.983	Experiments + Databases
FANCE	FANCG	0.000999	0	0	0	0	0.886	0.9	0.983	Experiments + Databases
CAP2	ROBO1	0.000499	0	0	0	0	0	0.5	0	Databases
GMNN	MCM3	0.000408	0	0	0	0	0	0	0.408	Text-mining
GMNN	CDC20	0.000457	0	0	0	0	0.457	0	0	Experiments
GMNN	CKS1B	0.00053	0	0	0	0	0.53	0	0	Experiments
GMNN	CKS2	0.000531	0	0	0	0	0.531	0	0	Experiments
GMNN	CCNA2	0.000556	0	0	0	0	0.556	0	0	Experiments
GMNN	HOXC9	0.000557	0	0	0	0	0.423	0	0.264	Experiments
GMNN	CDK1	0.000574	0	0	0	0	0.574	0	0	Experiments
GMNN	MCM6	0.00062	0	0	0	0	0.62	0	0	Experiments
GMNN	CDKN2A	0.000633	0	0	0	0	0.633	0	0	Experiments
GMNN	CDT1	0.000999	0	0	0	0	0.973	0.9	0.725	Experiments + Databases
MDFI	CBFA2T2	0.00042	0	0	0	0	0.421	0	0	Experiments
MDFI	APLN	0.00042	0	0	0	0	0.421	0	0	Experiments
MDFI	DKK1	0.00042	0	0	0	0	0.42	0	0	Experiments
MDFI	OTX1	0.00042	0	0	0	0	0.421	0	0	Experiments
MDFI	CALML6	0.000428	0	0	0	0	0	0	0.428	Text-mining
MDFI	BEX2	0.000591	0	0	0	0	0.591	0	0	Experiments
LAMA4	ITGA2	0.000499	0	0	0	0	0	0.5	0	Databases
LAMA4	LAMA3	0.000547	0	0	0	0	0	0.4	0.276	Databases
LAMA4	ITGA6	0.00065	0	0	0	0	0	0.65	0	Databases
LAMA4	MCAM	0.000883	0	0	0	0	0.652	0	0.679	Experiments
LAMA4	LAMC1	0.000946	0	0	0	0	0.189	0.8	0.693	Experiments + Databases
LOX	EGF	0.000405	0	0	0	0	0.405	0	0	Experiments
CDH9	CDH24	0.00054	0	0	0	0	0	0.54	0	Databases
CDH9	APC2	0.00054	0	0	0	0	0	0.54	0	Databases
CDH9	CTNNA2	0.000547	0	0	0	0	0	0.54	0.057	Databases
CDH9	CDH8	0.000596	0	0	0	0	0	0.54	0.158	Databases
CDH9	CDH13	0.000598	0	0	0	0	0	0.54	0.163	Databases
PFKFB4	PFKFB2	0.000796	0	0	0	0	0.61	0.5	0	Experiments + Databases
TNNC1	NEB	0.000499	0	0	0	0	0	0.5	0	Databases
TNNC1	TPM2	0.000504	0	0	0	0	0	0.5	0.05	Databases
TNNC1	TNNT1	0.000925	0	0	0	0	0.23	0.9	0.116	Experiments + Databases
MSH2	DNMT1	4e-04	0	0	0	0	0	0	0.401	Text-mining
MSH2	MSH5	0.000402	0	0	0	0	0	0	0.402	Text-mining
MSH2	RECQL4	0.000406	0	0	0	0	0.294	0	0.194	Experiments
MSH2	BRIP1	0.000407	0	0	0	0	0	0	0.407	Text-mining
MSH2	CDC20	0.000408	0	0	0	0	0	0	0.409	Text-mining
MSH2	UHRF1	0.000457	0	0	0	0	0.457	0	0	Experiments
MSH2	MCM8	0.000457	0	0	0	0	0.457	0	0	Experiments
MSH2	FANCI	0.00054	0	0	0	0	0	0.54	0	Databases
MSH2	BLM	0.000545	0	0	0	0	0.458	0	0.194	Experiments
MSH2	H2AZ1	0.00059	0	0	0	0	0.292	0	0.445	Experiments
MSH2	RAD51	0.00067	0	0	0	0	0.292	0	0.554	Experiments
MSH2	BRCA2	0.00069	0	0	0	0	0	0.54	0.355	Databases
MSH2	PCNA	0.000808	0	0	0	0	0.622	0.5	0.065	Experiments + Databases
MSH2	FANCD2	0.000886	0	0	0	0	0.457	0.54	0.582	Experiments + Databases
MSH2	POLD1	9e-04	0	0	0	0	0	0.9	0	Databases
MSH2	EXO1	0.000993	0	0	0	0	0.457	0.5	0.977	Experiments + Databases
REG1A	REG1B	0.000671	0	0	0	0	0.671	0	0	Experiments
BCL9	ISL2	0.000405	0	0	0	0	0.405	0	0	Experiments
BCL9	TERT	0.000456	0	0	0	0	0	0	0.456	Text-mining
BCL9	LEF1	0.00068	0	0	0	0	0	0.54	0.334	Databases
BCL9	H3C6	8e-04	0	0	0	0	0.8	0	0	Experiments
BCL9	H3C10	8e-04	0	0	0	0	0.8	0	0	Experiments
BCL9	H3C2	8e-04	0	0	0	0	0.8	0	0	Experiments
BCL9	PYGO2	0.000985	0	0	0	0	0.457	0.9	0.761	Experiments + Databases
PRRX1	FOXM1	0.000431	0	0	0	0	0	0	0.431	Text-mining
NCAPH	WDR76	0.000457	0	0	0	0	0.457	0	0	Experiments
NCAPH	SMC1B	0.000525	0	0	0	0	0.356	0	0.293	Experiments
NCAPH	NCAPG2	0.000645	0	0	0	0	0	0.54	0.26	Databases
NCAPH	NCAPD2	0.000999	0	0	0	0	0.924	0.9	0.984	Experiments + Databases
NCAPH	NCAPG	0.000999	0	0	0	0	0.972	0.9	0.986	Experiments + Databases
DDX39A	SOX2	0.000457	0	0	0	0	0.457	0	0	Experiments
DDX39A	DDX39B	0.000821	0	0	0	0	0.671	0	0.481	Experiments
HOXC6	HOXD4	8e-04	0	0	0	0	0.8	0	0	Experiments
MSTO1	CCT3	0.000535	0	0	0	0	0.535	0	0	Experiments
CDC25B	MELK	0.000506	0	0	0	0	0.329	0	0.294	Experiments
CDC25B	SFN	0.000624	0	0	0	0	0.457	0	0.337	Experiments
CDC25B	CDK1	0.000855	0	0	0	0	0.47	0	0.737	Experiments
CDC25B	CCNA2	0.000892	0	0	0	0	0.292	0	0.855	Experiments
CDC25B	CDC25C	9e-04	0	0	0	0	0	0.9	0	Databases
CDC25B	CDC25A	9e-04	0	0	0	0	0	0.9	0.049	Databases
DLGAP5	TOP2A	4e-04	0	0	0	0	0	0	0.4	Text-mining
DLGAP5	TPX2	0.000416	0	0	0	0	0	0	0.416	Text-mining
