"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Ontology","Direction","GeneRatio","p.adjust","Count"
"Regulation Of Interleukin-6 Production (GO:0032675)","16/114",0.000640491416648325,0.0117592868559243,0,0,2.76432159879281,20.3268164558098,"IL10;SIGLEC16;IL33;ORM1;TSLP;LILRA2;SCIMP;IL6;CD200R1;NLRP12;EHHADH;IL1B;TLR4;MYD88;TLR3;MBL2","BP","Down",0.140350877192982,0.0117592868559243,16
"Positive Regulation Of Chemokine Production (GO:0032722)","10/53",0.000649259440033337,0.0117998286751727,0,0,3.92783397643133,28.8290372828573,"CSF1R;EGR1;IL33;IL6;TSLP;IL1B;HMOX1;TLR4;TLR3;MBL2","BP","Down",0.188679245283019,0.0117998286751727,10
"Positive Regulation Of Intracellular Signal Transduction (GO:1902533)","48/525",0.000649500656183856,0.0117998286751727,0,0,1.71900749227706,12.6163232252967,"RET;ECM1;LRRC19;FLT3;CD81;PELI2;GATA3;ADRB2;ADRA1B;THBS1;ART4;NR3C2;WNT11;FAM110C;CCL4;CCL3;HMOX1;S100A12;TNFSF11;NLRP3;NKX3-1;P2RY12;PDGFRA;PRKCB;HGF;IGF1;ADRA2B;DCN;SELP;NLRP12;IL6;CD4;FRMD6;P2RX3;TCIM;AXL;IL1B;CASS4;TRIM58;SPRY2;TEK;TLR4;FERMT2;S100A8;MYD88;TLR3;TSPYL5;AVPI1","BP","Down",0.0914285714285714,0.0117998286751727,48
"Negative Regulation Of T Cell Proliferation (GO:0042130)","8/36",0.000720824179545467,0.0127156287214187,0,0,4.82082107686405,34.8791963645797,"IL10;CD274;CR1;SDC4;LILRB1;VTCN1;VSIG4;PDCD1LG2","BP","Down",0.222222222222222,0.0127156287214187,8
"Granulocyte Chemotaxis (GO:0071621)","12/73",0.000720913506207494,0.0127156287214187,0,0,3.32535018337678,24.0588799505429,"CCL23;CXCR1;CCL4;CXCR2;CCL3;SAA1;CCL2;S100A12;PPBP;CXCL2;S100A8;PF4","BP","Down",0.164383561643836,0.0127156287214187,12
"Monocarboxylic Acid Transport (GO:0015718)","12/73",0.000720913506207494,0.0127156287214187,0,0,3.32535018337678,24.0588799505429,"FABP1;SLCO1B1;ACSL1;SLC10A1;SLCO2B1;SLCO1B3;GOT2;SLC6A12;SLC16A2;SLC16A4;SLC27A5;MFSD2A","BP","Down",0.164383561643836,0.0127156287214187,12
"Pathway-Restricted SMAD Protein Phosphorylation (GO:0060389)","5/14",0.000728844401622342,0.0127156287214187,0,0,9.35813492063492,67.6036372833847,"TGFBR3;BMP10;AMHR2;GDF2;GDF6","BP","Down",0.357142857142857,0.0127156287214187,5
"Positive Regulation Of Acute Inflammatory Response (GO:0002675)","5/14",0.000728844401622342,0.0127156287214187,0,0,9.35813492063492,67.6036372833847,"IL6;IL1B;C2CD4B;PTGS2;IL6ST","BP","Down",0.357142857142857,0.0127156287214187,5
"Fatty Acid Derivative Biosynthetic Process (GO:1901570)","7/28",0.000729224817164937,0.0127156287214187,0,0,5.62134764460346,40.6059648198473,"GGT5;GCDH;HMGCL;HMGCS2;HMGCLL1;SLC27A2;SLC27A5","BP","Down",0.25,0.0127156287214187,7
"Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407)","7/28",0.000729224817164937,0.0127156287214187,0,0,5.62134764460346,40.6059648198473,"AGXT2;IL1B;HBB;PTGS2;KLF4;TLR4;ASS1","BP","Down",0.25,0.0127156287214187,7
